[11/Jun/2021 02:55:56] INFO [django.utils.autoreload:636] Watching for file changes with StatReloader
[11/Jun/2021 02:55:56] DEBUG [django.utils.autoreload:314] Waiting for apps ready_event.
[11/Jun/2021 02:55:56] DEBUG [django.utils.autoreload:326] Apps ready_event triggered. Sending autoreload_started signal.
[11/Jun/2021 02:55:56] DEBUG [django.utils.autoreload:280] Watching dir C:\Users\DELL E7240\Desktop\myPortfolio_django\Joshua\projects\templates with glob **/*.
[11/Jun/2021 02:55:56] DEBUG [django.utils.autoreload:280] Watching dir C:\Users\DELL E7240\Desktop\myPortfolio_django\Joshua\locale with glob **/*.mo.
[11/Jun/2021 02:55:56] DEBUG [django.utils.autoreload:280] Watching dir C:\Users\DELL E7240\Desktop\myPortfolio_django\Joshua\projects\locale with glob **/*.mo.
[11/Jun/2021 02:55:56] DEBUG [django.utils.autoreload:280] Watching dir C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\lib\site-packages\taggit\locale with glob **/*.mo.
[11/Jun/2021 02:55:56] DEBUG [django.utils.autoreload:280] Watching dir C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\lib\site-packages\storages\locale with glob **/*.mo.
[11/Jun/2021 02:55:57] DEBUG [django.utils.autoreload:378] File C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1621454853.9574916
[11/Jun/2021 02:55:57] DEBUG [django.utils.autoreload:378] File C:\Users\DELL E7240\AppData\Local\Programs\Python\Python39\Lib\decimal.py first seen with mtime 1613732946.0
[11/Jun/2021 02:55:57] DEBUG [django.utils.autoreload:378] File C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\Lib\site-packages\sqlparse\exceptions.py first seen with mtime 1621454849.5571654
[11/Jun/2021 02:55:57] DEBUG [django.utils.autoreload:378] File C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\Lib\site-packages\django\core\files\base.py first seen with mtime 1621454860.6926365
[11/Jun/2021 02:55:57] DEBUG [django.utils.autoreload:378] File C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\Lib\site-packages\django\forms\boundfield.py first seen with mtime 1621454861.0864105
[11/Jun/2021 02:55:57] DEBUG [django.utils.autoreload:378] File C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\Lib\site-packages\django\db\models\manager.py first seen with mtime 1621454861.0044577
[11/Jun/2021 02:55:57] DEBUG [django.utils.autoreload:378] File C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1621454860.7096262
[11/Jun/2021 02:55:57] DEBUG [django.utils.autoreload:378] File C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1621454861.0344408
[11/Jun/2021 02:55:57] DEBUG [django.utils.autoreload:378] File C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\Lib\site-packages\django\template\response.py first seen with mtime 1621454861.270305
[11/Jun/2021 02:55:57] DEBUG [django.utils.autoreload:378] File C:\Users\DELL E7240\Desktop\myPortfolio_django\venv\Lib\site-packages\dotenv\main.py first seen with mtime 1623363750.6857178
